1714119990.810		2946475	73	17	2946217	168	2946352	799	1969	0	200
1714119991.810		8128823	56	17	8128236	514	8128716	799	1969	0	200
1714119992.810		7128628	60	13	7128119	436	7128545	799	1969	0	200
1714119993.811		11000153	67	18	11000068	0	11000000	799	0	110	0
1714119994.810		11000535	55	13	11000467	0	11000000	799	0	110	0
1714119995.811		11000438	65	15	11000358	0	11000000	799	0	110	0
1714119996.810		11000736	595	24	11000117	0	11000000	799	0	110	0
1714119997.811		11001075	50	11	11001014	0	11000000	799	0	110	0
1714119998.811		11000243	51	11	11000181	0	11000000	799	0	110	0
1714119999.811		11000380	80	35	11000265	0	11000000	799	0	110	0
1714120000.811		11000317	57	12	11000248	0	11000000	799	0	110	0
1714120001.810		11000640	51	11	11000578	0	11000000	799	0	110	0
1714120002.810		11000287	63	12	11000212	0	11000000	799	0	110	0
1714120003.810		11001133	54	13	11001066	0	11000000	799	0	110	0
1714120004.811		11000849	50	12	11000787	0	11000000	799	0	110	0
1714120005.811		11000144	63	12	11000069	0	11000000	799	0	110	0
1714120006.810		11000536	58	12	11000466	0	11000000	799	0	110	0
1714120007.811		11000254	64	16	11000174	0	11000000	799	0	110	0
1714120008.810		11000171	50	11	11000110	0	11000000	799	0	110	0
1714120009.810		11000799	75	40	11000684	0	11000000	799	0	110	0
1714120010.811		11000258	122	16	11000120	0	11000000	799	0	110	0
1714120011.811		11000953	116	11	11000826	0	11000000	799	0	110	0
1714120012.811		11000615	53	11	11000551	0	11000000	799	0	110	0
1714120013.810		11000603	68	11	11000524	0	11000000	799	0	110	0
1714120014.811		11000201	50	12	11000139	0	11000000	799	0	110	0
1714120015.811		11000353	81	27	11000245	0	11000000	799	0	110	0
1714120016.810		11000828	82	20	11000726	0	11000000	799	0	110	0
1714120017.810		11001133	126	14	11000993	0	11000000	799	0	110	0
1714120018.810		11000877	57	15	11000805	0	11000000	799	0	110	0
1714120019.810		11000407	54	10	11000343	0	11000000	799	0	110	0
1714120020.811		11001109	114	18	11000977	0	11000000	799	0	110	0
1714120021.811		11000600	53	11	11000536	0	11000000	799	0	110	0
1714120022.811		11000664	51	11	11000602	0	11000000	799	0	110	0
1714120023.811		11000520	64	12	11000444	0	11000000	799	0	110	0
1714120024.811		11000140	100	14	11000026	0	11000000	799	0	110	0
1714120025.811		11000781	53	11	11000717	0	11000000	799	0	110	0
1714120026.810		11000291	51	14	11000226	0	11000000	799	0	110	0
1714120027.811		11001013	96	14	11000903	0	11000000	799	0	110	0
1714120028.810		11000561	68	12	11000481	0	11000000	799	0	110	0
1714120029.810		11000808	65	15	11000728	0	11000000	799	0	110	0
1714120030.811		11000286	53	11	11000222	0	11000000	799	0	110	0
1714120031.811		11000894	140	18	11000736	0	11000000	799	0	110	0
1714120032.811		11000807	56	14	11000737	0	11000000	799	0	110	0
1714120033.810		11000426	55	15	11000356	0	11000000	799	0	110	0
1714120034.810		11000207	54	11	11000142	0	11000000	799	0	110	0
1714120035.810		11000472	63	13	11000396	0	11000000	799	0	110	0
1714120036.810		11000999	53	13	11000933	0	11000000	799	0	110	0
1714120037.810		11000177	52	11	11000114	0	11000000	799	0	110	0
