1714117258.032		837142	65	16	836986	75	837031	799	1969	0	200
1714117268.031		852428	194	61	852100	73	852148	799	1969	0	200
1714117278.031		862817	200	62	862482	73	862527	799	1969	0	200
1714117288.032		864543	215	62	864192	74	864239	799	1969	0	200
1714117298.032		869694	258	66	869289	81	869344	799	1969	0	200
1714117308.032		877492	401	88	876928	75	877177	799	1969	0	200
1714117318.032		882195	268	82	881773	72	881820	799	1969	0	200
1714117328.032		880680	57	12	880531	80	880579	799	1969	0	200
1714117338.032		895198	216	50	894858	74	894910	799	1969	0	200
1714117348.031		908914	191	51	908549	123	908646	799	1969	0	200
1714117358.032		922725	231	54	922374	66	922414	799	1969	0	200
1714117368.032		924764	209	54	924429	72	924483	799	1969	0	200
1714117378.032		931502	339	63	931034	66	931228	799	1969	0	200
1714117388.032		943604	267	78	943192	67	943243	799	1969	0	200
1714117398.032		958651	105	27	958443	76	958488	799	1969	0	200
1714117408.032		979547	239	56	979169	83	979228	799	1969	0	200
1714117418.032		988182	199	53	987857	73	987912	799	1969	0	200
1714117428.032		1014229	196	50	1013903	80	1013963	799	1969	0	200
1714117438.032		1030899	198	48	1030581	72	1030631	799	1969	0	200
1714117448.032		1046153	355	61	1045666	71	1045886	799	1969	0	200
1714117458.032		1053751	227	76	1053373	75	1053428	799	1969	0	200
1714117468.032		1081751	198	77	1081404	72	1081460	799	1969	0	200
1714117478.032		1114784	217	53	1114443	71	1114493	799	1969	0	200
1714117488.032		1142543	227	56	1142186	74	1142247	799	1969	0	200
1714117498.032		1166272	77	18	1166096	81	1166147	799	1969	0	200
1714117508.032		1170527	194	50	1170211	72	1170260	799	1969	0	200
1714117518.032		1201869	98	13	1201692	66	1201785	799	1969	0	200
1714117528.032		1225526	210	50	1225195	71	1225240	799	1969	0	200
1714117538.031		1294828	193	50	1294511	74	1294564	799	1969	0	200
1714117548.032		1282674	239	68	1282301	66	1282349	799	1969	0	200
1714117558.032		1314866	205	54	1314536	71	1314613	799	1969	0	200
1714117568.032		1349900	165	40	1349625	70	1349672	799	1969	0	200
1714117578.032		1385190	54	11	1385051	74	1385098	799	1969	0	200
1714117588.032		1410278	91	28	1410088	71	1410172	799	1969	0	200
1714117598.032		1457278	56	11	1457140	71	1457181	799	1969	0	200
1714117608.032		1491195	46	11	1491063	75	1491104	799	1969	0	200
1714117618.032		1553720	213	56	1553378	73	1553430	799	1969	0	200
1714117628.032		1564561	124	33	1564339	65	1564384	799	1969	0	200
1714117638.032		1606814	176	49	1606513	76	1606568	799	1969	0	200
1714117648.032		1646147	194	51	1645828	74	1645883	799	1969	0	200
1714117658.032		1692396	345	67	1691915	69	1692134	799	1969	0	200
1714117668.032		1737401	221	57	1737051	72	1737103	799	1969	0	200
1714117678.032		1788130	244	68	1787747	71	1787798	799	1969	0	200
1714117688.032		1819542	258	58	1819154	72	1819206	799	1969	0	200
1714117698.032		1901135	220	71	1900776	68	1900831	799	1969	0	200
1714117708.032		1918558	243	77	1918172	66	1918245	799	1969	0	200
1714117718.032		1977897	213	51	1977560	73	1977614	799	1969	0	200
1714117728.032		2021984	342	79	2021490	73	2021704	799	1969	0	200
1714117738.032		2102287	188	37	2101991	71	2102041	799	1969	0	200
1714117748.032		2154306	194	51	2153970	91	2154040	799	1969	0	200
1714117758.032		2218235	182	48	2217934	71	2217985	799	1969	0	200
1714117768.032		2299864	215	49	2299527	73	2299585	799	1969	0	200
1714117778.032		2364001	199	51	2363679	72	2363727	799	1969	0	200
1714117788.031		2412519	191	56	2412192	80	2412250	799	1969	0	200
1714117798.031		2499126	379	106	2498526	115	2498809	799	1969	0	200
1714117808.032		2577365	237	55	2577004	69	2577049	799	1969	0	200
1714117818.032		2629450	184	84	2629111	71	2629158	799	1969	0	200
1714117828.032		2674374	191	50	2674056	77	2674109	799	1969	0	200
1714117838.032		2794901	230	54	2794548	69	2794603	799	1969	0	200
1714117848.031		2864713	194	52	2864391	76	2864446	799	1969	0	200
