1714116640.896		11001046	78	22	11000946	0	11000000	799	0	110	0
1714116650.896		11001183	89	31	11001063	0	11000000	799	0	110	0
1714116660.896		11001149	50	15	11001084	0	11000000	799	0	110	0
1714116670.896		11000196	57	13	11000126	0	11000000	799	0	110	0
1714116680.896		11001129	53	34	11001042	0	11000000	799	0	110	0
1714116690.896		11000407	55	15	11000337	0	11000000	799	0	110	0
1714116700.896		11001109	118	16	11000975	0	11000000	799	0	110	0
1714116710.896		11000767	61	12	11000694	0	11000000	799	0	110	0
1714116720.896		11001083	69	12	11001002	0	11000000	799	0	110	0
1714116730.896		11001107	82	13	11001012	0	11000000	799	0	110	0
1714116740.896		11000433	69	11	11000353	0	11000000	799	0	110	0
1714116750.897		11000545	51	15	11000479	0	11000000	799	0	110	0
1714116760.896		11001121	51	11	11001059	0	11000000	799	0	110	0
1714116770.896		11001171	103	23	11001045	0	11000000	799	0	110	0
1714116780.897		11001031	51	11	11000969	0	11000000	799	0	110	0
1714116790.896		11000256	54	12	11000190	0	11000000	799	0	110	0
1714116800.896		11000841	51	49	11000741	0	11000000	799	0	110	0
1714116810.896		11000849	47	11	11000791	0	11000000	799	0	110	0
1714116820.897		11000781	50	11	11000720	0	11000000	799	0	110	0
1714116830.896		11000866	64	15	11000787	0	11000000	799	0	110	0
1714116840.896		11000146	98	14	11000034	0	11000000	799	0	110	0
1714116850.896		11000144	71	21	11000052	0	11000000	799	0	110	0
1714116860.896		11000722	53	11	11000658	0	11000000	799	0	110	0
1714116870.896		11000484	80	12	11000392	0	11000000	799	0	110	0
1714116880.896		11001125	73	13	11001039	0	11000000	799	0	110	0
